target_id	length	eff_length	est_counts	tpm
DAnjou_Chr10v0.1_26306.1	1575	1416.11	1250.7	31.704
DAnjou_Chr10v0.1_26305.1	1536	1377.11	302	7.8722
DAnjou_Chr10v0.1_26304.1	747	588.107	210	12.818
DAnjou_Chr10v0.1_26303.1	1452	1293.11	850.345	23.6057
DAnjou_Chr10v0.1_26302.1	891	732.107	718	35.2052
DAnjou_Chr10v0.1_26301.1	945	786.107	986.162	45.0322
DAnjou_Chr10v0.1_26300.1	2013	1854.11	3092.9	59.8808
DAnjou_Chr10v0.1_26299.1	711	552.107	946.288	61.5258
DAnjou_Chr10v0.1_26298.1	2265	2106.11	463	7.89146
DAnjou_Chr10v0.1_26297.1	2142	1983.11	16	0.289622
DAnjou_Chr10v0.1_26296.1	1485	1326.11	79.1082	2.14141
DAnjou_Chr10v0.1_26295.1	2847	2688.11	1053.12	14.0633
DAnjou_Chr10v0.1_26294.1	6554	6395.11	959.283	5.38463
DAnjou_Chr10v0.1_26293.1	1029	870.107	1204.21	49.6805
DAnjou_Chr10v0.1_26292.1	711	552.107	501	32.574
DAnjou_Chr10v0.1_26291.1	418	260.987	73	10.0406
DAnjou_Chr10v0.1_26290.1	1824	1665.11	831	17.915
DAnjou_Chr10v0.1_26288.1	846	687.107	620.602	32.4225
DAnjou_Chr10v0.1_26287.1	900	741.107	545	26.3981
DAnjou_Chr10v0.1_26285.1	6444	6285.11	3327.93	19.0072
DAnjou_Chr10v0.1_26282.1	984	825.107	442	19.2295
DAnjou_Chr10v0.1_26281.1	2058	1899.11	27	0.510354
DAnjou_Chr10v0.1_26280.1	876	717.107	51	2.55295
DAnjou_Chr10v0.1_26279.1	681	522.107	86	5.91284
DAnjou_Chr10v0.1_26278.1	381	224.976	283	45.1552
DAnjou_Chr10v0.1_26277.1	882	723.107	622.018	30.8786
DAnjou_Chr10v0.1_26276.1	369	213.488	0	0
DAnjou_Chr10v0.1_26275.1	2271	2112.11	44.0436	0.748556
DAnjou_Chr10v0.1_26274.1	387	230.754	133.914	20.8321
DAnjou_Chr10v0.1_26273.1	1485	1326.11	22.4028	0.606431
DAnjou_Chr10v0.1_26272.1	639	480.107	2860.18	213.852
DAnjou_Chr10v0.1_26271.1	486	327.712	180	19.7168
DAnjou_Chr10v0.1_26270.1	1014	855.107	37.7231	1.58359
DAnjou_Chr10v0.1_26269.1	498	339.648	35	3.6991
DAnjou_Chr10v0.1_26268.1	609	450.176	2074.32	165.406
DAnjou_Chr10v0.1_26267.1	2139	1980.11	232.178	4.2091
DAnjou_Chr10v0.1_26266.1	444	286.315	6	0.752254
DAnjou_Chr10v0.1_26256.1	1086	927.107	1	0.0387193
DAnjou_Chr10v0.1_26255.1	2079	1920.11	321.012	6.00141
DAnjou_Chr10v0.1_26254.1	804	645.107	90	5.00804
DAnjou_Chr10v0.1_26253.1	1899	1740.11	66	1.36152
DAnjou_Chr10v0.1_26252.1	1779	1620.11	321.654	7.12693
DAnjou_Chr10v0.1_26251.1	1215	1056.11	317	10.7748
DAnjou_Chr10v0.1_26250.1	1257	1098.11	157	5.1323
DAnjou_Chr10v0.1_26249.1	1056	897.107	2211	88.4711
DAnjou_Chr10v0.1_26248.1	1629	1470.11	582	14.2112
DAnjou_Chr10v0.1_26247.1	735	576.107	17	1.05926
DAnjou_Chr10v0.1_26246.1	2148	1989.11	83	1.49788
