target_id	length	eff_length	est_counts	tpm
DAnjou_Chr10v0.1_26306.1	1575	1417.39	1073.87	35.0275
DAnjou_Chr10v0.1_26305.1	1536	1378.39	37	1.24101
DAnjou_Chr10v0.1_26304.1	747	589.387	71	5.56934
DAnjou_Chr10v0.1_26303.1	1452	1294.39	296.019	10.5731
DAnjou_Chr10v0.1_26302.1	891	733.387	492	31.0154
DAnjou_Chr10v0.1_26301.1	945	787.387	672.806	39.5045
DAnjou_Chr10v0.1_26300.1	2013	1855.39	1947.55	48.5287
DAnjou_Chr10v0.1_26299.1	711	553.387	1268.57	105.982
DAnjou_Chr10v0.1_26298.1	2265	2107.39	173	3.79531
DAnjou_Chr10v0.1_26297.1	2142	1984.39	0	0
DAnjou_Chr10v0.1_26296.1	1485	1327.39	31.1833	1.0861
DAnjou_Chr10v0.1_26295.1	2847	2689.39	542.729	9.32986
DAnjou_Chr10v0.1_26294.1	6554	6396.39	751.457	5.43144
DAnjou_Chr10v0.1_26293.1	1029	871.387	454.958	24.1383
DAnjou_Chr10v0.1_26292.1	711	553.387	182	15.2051
DAnjou_Chr10v0.1_26291.1	418	261.482	101	17.8577
DAnjou_Chr10v0.1_26290.1	1824	1666.39	1280	35.5124
DAnjou_Chr10v0.1_26288.1	846	688.387	170.907	11.4782
DAnjou_Chr10v0.1_26287.1	900	742.387	1082	67.3818
DAnjou_Chr10v0.1_26285.1	6444	6286.39	2028.39	14.9175
DAnjou_Chr10v0.1_26282.1	984	826.387	193	10.7974
DAnjou_Chr10v0.1_26281.1	2058	1900.39	17	0.413573
DAnjou_Chr10v0.1_26280.1	876	718.387	40	2.57423
DAnjou_Chr10v0.1_26279.1	681	523.387	5	0.441665
DAnjou_Chr10v0.1_26278.1	381	225.395	90	18.4605
DAnjou_Chr10v0.1_26277.1	882	724.387	633.487	40.4308
DAnjou_Chr10v0.1_26276.1	369	213.753	1.03087	0.222965
DAnjou_Chr10v0.1_26275.1	2271	2113.39	136.835	2.99339
DAnjou_Chr10v0.1_26274.1	387	231.194	24.4596	4.89121
DAnjou_Chr10v0.1_26273.1	1485	1327.39	8.57951	0.298821
DAnjou_Chr10v0.1_26272.1	639	481.387	1375.12	132.066
DAnjou_Chr10v0.1_26271.1	486	328.711	84	11.8144
DAnjou_Chr10v0.1_26270.1	1014	856.387	13.9497	0.75308
DAnjou_Chr10v0.1_26269.1	498	340.68	12.7046	1.72409
DAnjou_Chr10v0.1_26268.1	609	451.45	692	70.8666
DAnjou_Chr10v0.1_26267.1	2139	1981.39	105.766	2.46787
DAnjou_Chr10v0.1_26266.1	444	287.167	11	1.77094
DAnjou_Chr10v0.1_26256.1	1086	928.387	62	3.08751
DAnjou_Chr10v0.1_26255.1	2079	1921.39	97.6467	2.34957
DAnjou_Chr10v0.1_26254.1	804	646.387	124	8.869
DAnjou_Chr10v0.1_26253.1	1899	1741.39	47	1.24781
DAnjou_Chr10v0.1_26252.1	1779	1621.39	191.119	5.44958
DAnjou_Chr10v0.1_26251.1	1215	1057.39	10	0.437232
DAnjou_Chr10v0.1_26250.1	1257	1099.39	32	1.34569
DAnjou_Chr10v0.1_26249.1	1056	898.387	829	42.6615
DAnjou_Chr10v0.1_26248.1	1629	1471.39	621	19.5124
DAnjou_Chr10v0.1_26247.1	735	577.387	6	0.48043
DAnjou_Chr10v0.1_26246.1	2148	1990.39	121	2.81056
DAnjou_Chr10v0.1_26245.1	336	182.087	289	73.3776
DAnjou_Chr10v0.1_26244.1	678	520.387	194.309	17.2629
DAnjou_Chr10v0.1_26243.1	1569	1411.39	53.5173	1.75305
DAnjou_Chr10v0.1_26242.1	327	173.684	10	2.66187
DAnjou_Chr10v0.1_26241.1	1371	1213.39	574.359	21.8841
DAnjou_Chr10v0.1_26240.1	1185	1027.39	171	7.69498
DAnjou_Chr10v0.1_26239.1	813	655.387	804.048	56.7191
DAnjou_Chr10v0.1_26238.1	975	817.387	957.187	54.1396
DAnjou_Chr10v0.1_26237.1	2994	2836.39	3	0.0488991
DAnjou_Chr10v0.1_26236.1	2601	2443.39	6	0.113528
DAnjou_Chr10v0.1_26235.1	720	562.387	21.1454	1.7383
DAnjou_Chr10v0.1_26261.1	324	170.805	3	0.812021
DAnjou_Chr10v0.1_26234.1	3000	2842.39	98	1.594
DAnjou_Chr10v0.1_26229.1	314	161.264	3	0.86006
DAnjou_Chr10v0.1_26233.1	1881	1723.39	79.5699	2.13458
DAnjou_Chr10v0.1_26232.1	2016	1858.39	2603.72	64.7745
DAnjou_Chr10v0.1_26231.1	910	752.387	34.5325	2.12193
DAnjou_Chr10v0.1_26230.1	2310	2152.39	71	1.52505
DAnjou_Chr10v0.1_26228.1	2604	2446.39	283.43	5.35632
DAnjou_Chr10v0.1_26227.1	2016	1858.39	906.183	22.5437
DAnjou_Chr10v0.1_26226.1	1479	1321.39	39.1417	1.36948
DAnjou_Chr10v0.1_26225.1	642	484.387	108	10.3081
DAnjou_Chr10v0.1_26224.1	2766	2608.39	531	9.4117
DAnjou_Chr10v0.1_26223.1	666	508.387	10430	948.496
DAnjou_Chr10v0.1_26222.1	4140	3982.39	961.005	11.1565
DAnjou_Chr10v0.1_26221.1	512	354.648	236	30.7652
DAnjou_Chr10v0.1_26220.1	684	526.387	19	1.66876
DAnjou_Chr10v0.1_26219.1	1152	994.387	218.282	10.1487
DAnjou_Chr10v0.1_26218.1	666	508.387	153	13.9137
DAnjou_Chr10v0.1_26217.1	738	580.387	252	20.0737
DAnjou_Chr10v0.1_26216.1	1686	1528.39	331.588	10.0302
DAnjou_Chr10v0.1_26215.1	1455	1297.39	64	2.28064
DAnjou_Chr10v0.1_26214.1	450	293.007	0	0
DAnjou_Chr10v0.1_26213.1	420	263.458	621	108.975
