target_id	gene_id
DAnjou_Chr10v0.1_26306.1	DAnjou_Chr10v0.1_26306
DAnjou_Chr10v0.1_26305.1	DAnjou_Chr10v0.1_26305
DAnjou_Chr10v0.1_26304.1	DAnjou_Chr10v0.1_26304
DAnjou_Chr10v0.1_26303.1	DAnjou_Chr10v0.1_26303
DAnjou_Chr10v0.1_26302.1	DAnjou_Chr10v0.1_26302
DAnjou_Chr10v0.1_26301.1	DAnjou_Chr10v0.1_26301
DAnjou_Chr10v0.1_26300.1	DAnjou_Chr10v0.1_26300
DAnjou_Chr10v0.1_26299.1	DAnjou_Chr10v0.1_26299
DAnjou_Chr10v0.1_26298.1	DAnjou_Chr10v0.1_26298
DAnjou_Chr10v0.1_26297.1	DAnjou_Chr10v0.1_26297
DAnjou_Chr10v0.1_26296.1	DAnjou_Chr10v0.1_26296
DAnjou_Chr10v0.1_26295.1	DAnjou_Chr10v0.1_26295
DAnjou_Chr10v0.1_26294.1	DAnjou_Chr10v0.1_26294
DAnjou_Chr10v0.1_26293.1	DAnjou_Chr10v0.1_26293
DAnjou_Chr10v0.1_26292.1	DAnjou_Chr10v0.1_26292
DAnjou_Chr10v0.1_26291.1	DAnjou_Chr10v0.1_26291
DAnjou_Chr10v0.1_26290.1	DAnjou_Chr10v0.1_26290
DAnjou_Chr10v0.1_26288.1	DAnjou_Chr10v0.1_26288
DAnjou_Chr10v0.1_26287.1	DAnjou_Chr10v0.1_26287
DAnjou_Chr10v0.1_26285.1	DAnjou_Chr10v0.1_26285
DAnjou_Chr10v0.1_26282.1	DAnjou_Chr10v0.1_26282
DAnjou_Chr10v0.1_26281.1	DAnjou_Chr10v0.1_26281
DAnjou_Chr10v0.1_26280.1	DAnjou_Chr10v0.1_26280
DAnjou_Chr10v0.1_26279.1	DAnjou_Chr10v0.1_26279
DAnjou_Chr10v0.1_26278.1	DAnjou_Chr10v0.1_26278
DAnjou_Chr10v0.1_26277.1	DAnjou_Chr10v0.1_26277
DAnjou_Chr10v0.1_26276.1	DAnjou_Chr10v0.1_26276
DAnjou_Chr10v0.1_26275.1	DAnjou_Chr10v0.1_26275
DAnjou_Chr10v0.1_26274.1	DAnjou_Chr10v0.1_26274
DAnjou_Chr10v0.1_26273.1	DAnjou_Chr10v0.1_26273
DAnjou_Chr10v0.1_26272.1	DAnjou_Chr10v0.1_26272
DAnjou_Chr10v0.1_26271.1	DAnjou_Chr10v0.1_26271
DAnjou_Chr10v0.1_26270.1	DAnjou_Chr10v0.1_26270
DAnjou_Chr10v0.1_26269.1	DAnjou_Chr10v0.1_26269
DAnjou_Chr10v0.1_26268.1	DAnjou_Chr10v0.1_26268
DAnjou_Chr10v0.1_26267.1	DAnjou_Chr10v0.1_26267
DAnjou_Chr10v0.1_26266.1	DAnjou_Chr10v0.1_26266
DAnjou_Chr10v0.1_26256.1	DAnjou_Chr10v0.1_26256
DAnjou_Chr10v0.1_26255.1	DAnjou_Chr10v0.1_26255
DAnjou_Chr10v0.1_26254.1	DAnjou_Chr10v0.1_26254
