target_id	length	eff_length	est_counts	tpm
DAnjou_Chr10v0.1_26306.1	1575	1413.63	1675.32	28.1319
DAnjou_Chr10v0.1_26305.1	1536	1374.63	429	7.40811
DAnjou_Chr10v0.1_26304.1	747	585.657	656	26.5886
DAnjou_Chr10v0.1_26303.1	1452	1290.63	645.653	11.875
DAnjou_Chr10v0.1_26302.1	891	729.627	787	25.6041
DAnjou_Chr10v0.1_26301.1	945	783.627	1237.62	37.4899
DAnjou_Chr10v0.1_26300.1	2013	1851.63	5260.31	67.4362
DAnjou_Chr10v0.1_26299.1	711	549.657	1286.19	55.5453
DAnjou_Chr10v0.1_26298.1	2265	2103.63	5950	67.1403
DAnjou_Chr10v0.1_26297.1	2142	1980.63	0	0
DAnjou_Chr10v0.1_26296.1	1485	1323.63	38	0.68148
DAnjou_Chr10v0.1_26295.1	2847	2685.63	876.278	7.74517
DAnjou_Chr10v0.1_26294.1	6554	6392.63	966.181	3.58768
DAnjou_Chr10v0.1_26293.1	1029	867.627	1127.1	30.8365
DAnjou_Chr10v0.1_26292.1	711	549.657	250	10.7965
DAnjou_Chr10v0.1_26291.1	418	257.851	102	9.39001
DAnjou_Chr10v0.1_26290.1	1824	1662.63	758	10.822
DAnjou_Chr10v0.1_26288.1	846	684.657	311.429	10.7974
DAnjou_Chr10v0.1_26287.1	900	738.627	463	14.8796
DAnjou_Chr10v0.1_26285.1	6444	6282.63	4145.02	15.661
DAnjou_Chr10v0.1_26282.1	984	822.627	304	8.77214
DAnjou_Chr10v0.1_26281.1	2058	1896.63	66	0.826032
DAnjou_Chr10v0.1_26280.1	876	714.627	141	4.68354
DAnjou_Chr10v0.1_26279.1	681	519.657	50	2.28396
DAnjou_Chr10v0.1_26278.1	381	221.761	264	28.2588
DAnjou_Chr10v0.1_26277.1	882	720.627	609.292	20.0701
DAnjou_Chr10v0.1_26276.1	369	210.198	2.04551	0.230999
DAnjou_Chr10v0.1_26275.1	2271	2109.63	626.929	7.0542
DAnjou_Chr10v0.1_26274.1	387	227.554	514.002	53.6185
DAnjou_Chr10v0.1_26273.1	1485	1323.63	34.3414	0.615867
DAnjou_Chr10v0.1_26272.1	639	477.721	7581.36	376.71
DAnjou_Chr10v0.1_26271.1	486	325.159	313	22.8499
DAnjou_Chr10v0.1_26270.1	1014	852.627	42.1366	1.1731
DAnjou_Chr10v0.1_26269.1	498	337.09	25.0588	1.76461
DAnjou_Chr10v0.1_26268.1	609	447.761	2858.15	151.521
DAnjou_Chr10v0.1_26267.1	2139	1977.63	566.543	6.80022
DAnjou_Chr10v0.1_26266.1	444	283.387	0	0
DAnjou_Chr10v0.1_26256.1	1086	924.627	1	0.0256725
DAnjou_Chr10v0.1_26255.1	2079	1917.63	374.103	4.63087
DAnjou_Chr10v0.1_26254.1	804	642.657	303	11.1918
DAnjou_Chr10v0.1_26253.1	1899	1737.63	221	3.01905
DAnjou_Chr10v0.1_26252.1	1779	1617.63	492.704	7.23008
DAnjou_Chr10v0.1_26251.1	1215	1053.63	212	4.77622
DAnjou_Chr10v0.1_26250.1	1257	1095.63	128	2.77321
DAnjou_Chr10v0.1_26249.1	1056	894.627	1811	48.052
DAnjou_Chr10v0.1_26248.1	1629	1467.63	6356.13	102.805
DAnjou_Chr10v0.1_26247.1	735	573.657	3	0.124138
DAnjou_Chr10v0.1_26246.1	2148	1986.63	54.2574	0.648303
DAnjou_Chr10v0.1_26245.1	336	178.391	296	39.3871
DAnjou_Chr10v0.1_26244.1	678	516.7	339.058	15.5765
DAnjou_Chr10v0.1_26243.1	1569	1407.63	3	0.0505905
DAnjou_Chr10v0.1_26242.1	327	169.863	0	0
DAnjou_Chr10v0.1_26241.1	1371	1209.63	254.45	4.99328
DAnjou_Chr10v0.1_26240.1	1185	1023.63	1527	35.4105
