target_id	length	eff_length	est_counts	tpm
DAnjou_Chr10v0.1_26306.1	1575	1417.55	1126.86	36.5083
DAnjou_Chr10v0.1_26305.1	1536	1378.55	548	18.2566
DAnjou_Chr10v0.1_26304.1	747	589.575	264	20.5649
DAnjou_Chr10v0.1_26303.1	1452	1294.55	652.495	23.1483
DAnjou_Chr10v0.1_26302.1	891	733.549	690	43.1997
DAnjou_Chr10v0.1_26301.1	945	787.549	755.578	44.0618
DAnjou_Chr10v0.1_26300.1	2013	1855.55	1674.33	41.441
DAnjou_Chr10v0.1_26299.1	711	553.575	730.375	60.5941
DAnjou_Chr10v0.1_26298.1	2265	2107.55	904	19.6993
DAnjou_Chr10v0.1_26297.1	2142	1984.55	0	0
DAnjou_Chr10v0.1_26296.1	1485	1327.55	52.3973	1.81267
DAnjou_Chr10v0.1_26295.1	2847	2689.55	819	13.9851
DAnjou_Chr10v0.1_26294.1	6554	6396.55	643.748	4.62201
DAnjou_Chr10v0.1_26293.1	1029	871.549	1716.79	90.4659
DAnjou_Chr10v0.1_26292.1	711	553.575	342	28.3733
DAnjou_Chr10v0.1_26291.1	418	261.703	48	8.42353
DAnjou_Chr10v0.1_26290.1	1824	1666.55	345	9.5074
DAnjou_Chr10v0.1_26288.1	846	688.549	271.799	18.129
DAnjou_Chr10v0.1_26287.1	900	742.549	242	14.9676
DAnjou_Chr10v0.1_26285.1	6444	6286.55	2615.78	19.1095
DAnjou_Chr10v0.1_26282.1	984	826.549	268	14.8911
DAnjou_Chr10v0.1_26281.1	2058	1900.55	49	1.18407
DAnjou_Chr10v0.1_26280.1	876	718.549	60	3.83491
DAnjou_Chr10v0.1_26279.1	681	523.575	12	1.0526
DAnjou_Chr10v0.1_26278.1	381	225.812	260	52.8795
DAnjou_Chr10v0.1_26277.1	882	724.549	569.511	36.099
DAnjou_Chr10v0.1_26276.1	369	214.183	0	0
DAnjou_Chr10v0.1_26275.1	2271	2113.55	177	3.84611
DAnjou_Chr10v0.1_26274.1	387	231.653	251.859	49.9322
DAnjou_Chr10v0.1_26273.1	1485	1327.55	35.1467	1.21589
DAnjou_Chr10v0.1_26272.1	639	481.619	5230	498.722
DAnjou_Chr10v0.1_26271.1	486	329.066	248.691	34.7086
DAnjou_Chr10v0.1_26270.1	1014	856.549	27.1499	1.45572
DAnjou_Chr10v0.1_26269.1	498	341.037	26.5406	3.57413
DAnjou_Chr10v0.1_26268.1	609	451.681	1596	162.279
