target_id	length	eff_length	est_counts	tpm
DAnjou_Chr10v0.1_26306.1	1575	1413.38	1869.07	37.9522
DAnjou_Chr10v0.1_26305.1	1536	1374.38	208	4.34337
DAnjou_Chr10v0.1_26304.1	747	585.485	259	12.6956
DAnjou_Chr10v0.1_26303.1	1452	1290.38	757.475	16.8469
DAnjou_Chr10v0.1_26302.1	891	729.376	713.023	28.0557
DAnjou_Chr10v0.1_26301.1	945	783.376	1788.81	65.5333
DAnjou_Chr10v0.1_26300.1	2013	1851.38	5204.53	80.6781
DAnjou_Chr10v0.1_26299.1	711	549.485	1228.2	64.1477
DAnjou_Chr10v0.1_26298.1	2265	2103.38	173	2.36047
DAnjou_Chr10v0.1_26297.1	2142	1980.38	0	0
DAnjou_Chr10v0.1_26296.1	1485	1323.38	176.299	3.82328
DAnjou_Chr10v0.1_26295.1	2847	2685.38	1882.01	20.1134
DAnjou_Chr10v0.1_26294.1	6554	6392.38	1111.58	4.99053
DAnjou_Chr10v0.1_26293.1	1029	867.376	1419.62	46.9713
DAnjou_Chr10v0.1_26292.1	711	549.485	377	19.6904
DAnjou_Chr10v0.1_26291.1	418	257.881	106	11.7966
DAnjou_Chr10v0.1_26290.1	1824	1662.38	1066	18.4033
DAnjou_Chr10v0.1_26288.1	846	684.376	679.548	28.4967
DAnjou_Chr10v0.1_26287.1	900	738.376	1049	40.7725
DAnjou_Chr10v0.1_26285.1	6444	6282.38	3868.88	17.6738
DAnjou_Chr10v0.1_26282.1	984	822.376	543	18.9495
DAnjou_Chr10v0.1_26281.1	2058	1896.38	21	0.317807
DAnjou_Chr10v0.1_26280.1	876	714.376	106.183	4.26579
DAnjou_Chr10v0.1_26279.1	681	519.485	850	46.9585
DAnjou_Chr10v0.1_26278.1	381	221.975	312	40.3385
DAnjou_Chr10v0.1_26277.1	882	720.376	657.057	26.1766
DAnjou_Chr10v0.1_26276.1	369	210.352	1.02661	0.140064
DAnjou_Chr10v0.1_26275.1	2271	2109.38	289.258	3.9355
DAnjou_Chr10v0.1_26274.1	387	227.793	214.17	26.9828
DAnjou_Chr10v0.1_26273.1	1485	1323.38	38.6546	0.838277
DAnjou_Chr10v0.1_26272.1	639	477.485	1297.03	77.9579
DAnjou_Chr10v0.1_26271.1	486	325.159	95	8.38487
DAnjou_Chr10v0.1_26270.1	1014	852.376	23	0.7744
DAnjou_Chr10v0.1_26269.1	498	336.921	15.6134	1.32996
DAnjou_Chr10v0.1_26268.1	609	447.504	2198	140.961
DAnjou_Chr10v0.1_26267.1	2139	1977.38	157.732	2.28928
DAnjou_Chr10v0.1_26266.1	444	283.612	0	0
DAnjou_Chr10v0.1_26256.1	1086	924.376	0	0
DAnjou_Chr10v0.1_26255.1	2079	1917.38	210.833	3.15574
DAnjou_Chr10v0.1_26254.1	804	642.46	205	9.1575
DAnjou_Chr10v0.1_26253.1	1899	1737.38	60	0.99112
DAnjou_Chr10v0.1_26252.1	1779	1617.38	412.751	7.32397
DAnjou_Chr10v0.1_26251.1	1215	1053.38	213	5.80317
DAnjou_Chr10v0.1_26250.1	1257	1095.38	512	13.4145
DAnjou_Chr10v0.1_26249.1	1056	894.376	2341	75.1191
DAnjou_Chr10v0.1_26248.1	1629	1467.38	946	18.502
DAnjou_Chr10v0.1_26247.1	735	573.485	8	0.400347
DAnjou_Chr10v0.1_26246.1	2148	1986.38	194	2.80291
DAnjou_Chr10v0.1_26245.1	336	178.993	274	43.9323
DAnjou_Chr10v0.1_26244.1	678	516.485	261.325	14.5208
DAnjou_Chr10v0.1_26243.1	1569	1407.38	29	0.591367
DAnjou_Chr10v0.1_26242.1	327	170.581	1	0.168244
DAnjou_Chr10v0.1_26241.1	1371	1209.38	815.878	19.3612
DAnjou_Chr10v0.1_26240.1	1185	1023.38	717	20.1073
DAnjou_Chr10v0.1_26239.1	813	651.46	2051.44	90.3734
