target_id	length	eff_length	est_counts	tpm
DAnjou_Chr10v0.1_26306.1	1575	1418.18	818.194	29.0441
DAnjou_Chr10v0.1_26305.1	1536	1379.18	76	2.77412
DAnjou_Chr10v0.1_26304.1	747	590.23	83	7.0793
DAnjou_Chr10v0.1_26303.1	1452	1295.18	489.758	19.0364
DAnjou_Chr10v0.1_26302.1	891	734.18	370	25.3707
DAnjou_Chr10v0.1_26301.1	945	788.18	709.525	45.3185
DAnjou_Chr10v0.1_26300.1	2013	1856.18	1748.88	47.4322
DAnjou_Chr10v0.1_26299.1	711	554.23	732.722	66.5553
DAnjou_Chr10v0.1_26298.1	2265	2108.18	175	4.17892
DAnjou_Chr10v0.1_26297.1	2142	1985.18	0	0
DAnjou_Chr10v0.1_26296.1	1485	1328.18	68.4624	2.59495
DAnjou_Chr10v0.1_26295.1	2847	2690.18	714.253	13.3661
DAnjou_Chr10v0.1_26294.1	6554	6397.18	649.92	5.11452
DAnjou_Chr10v0.1_26293.1	1029	872.18	444.696	25.6679
DAnjou_Chr10v0.1_26292.1	711	554.23	207	18.8024
DAnjou_Chr10v0.1_26291.1	418	262.618	31	5.94251
DAnjou_Chr10v0.1_26290.1	1824	1667.18	565	17.0608
DAnjou_Chr10v0.1_26288.1	846	689.18	221.043	16.1464
DAnjou_Chr10v0.1_26287.1	900	743.18	560	37.9339
DAnjou_Chr10v0.1_26285.1	6444	6287.18	2019.37	16.1693
DAnjou_Chr10v0.1_26282.1	984	827.18	288	17.5277
DAnjou_Chr10v0.1_26281.1	2058	1901.18	11	0.291275
DAnjou_Chr10v0.1_26280.1	876	719.18	48	3.35998
DAnjou_Chr10v0.1_26279.1	681	524.23	21	2.01665
DAnjou_Chr10v0.1_26278.1	381	226.343	131	29.1365
DAnjou_Chr10v0.1_26277.1	882	725.18	447.931	31.0956
DAnjou_Chr10v0.1_26276.1	369	214.695	1.02296	0.239867
DAnjou_Chr10v0.1_26275.1	2271	2114.18	164	3.90513
DAnjou_Chr10v0.1_26274.1	387	232.224	84.278	18.2701
DAnjou_Chr10v0.1_26273.1	1485	1328.18	14.0494	0.53252
DAnjou_Chr10v0.1_26272.1	639	482.249	1126	117.544
DAnjou_Chr10v0.1_26271.1	486	329.771	72.8713	11.1244
DAnjou_Chr10v0.1_26270.1	1014	857.18	13	0.763492
DAnjou_Chr10v0.1_26269.1	498	341.696	3	0.441992
DAnjou_Chr10v0.1_26268.1	609	452.335	372	41.4014
DAnjou_Chr10v0.1_26267.1	2139	1982.18	58.9506	1.49719
DAnjou_Chr10v0.1_26266.1	444	288.156	8	1.39764
DAnjou_Chr10v0.1_26256.1	1086	929.18	57	3.08822
DAnjou_Chr10v0.1_26255.1	2079	1922.18	135.933	3.56011
DAnjou_Chr10v0.1_26254.1	804	647.23	141	10.9671
DAnjou_Chr10v0.1_26253.1	1899	1742.18	66	1.90715
DAnjou_Chr10v0.1_26252.1	1779	1622.18	170.917	5.3042
DAnjou_Chr10v0.1_26251.1	1215	1058.18	62	2.94962
DAnjou_Chr10v0.1_26250.1	1257	1100.18	96	4.39279
DAnjou_Chr10v0.1_26249.1	1056	899.18	1659	92.8823
DAnjou_Chr10v0.1_26248.1	1629	1472.18	570.479	19.508
DAnjou_Chr10v0.1_26247.1	735	578.23	28	2.43776
DAnjou_Chr10v0.1_26246.1	2148	1991.18	71	1.79507
DAnjou_Chr10v0.1_26245.1	336	182.994	232	63.824
DAnjou_Chr10v0.1_26244.1	678	521.23	215.261	20.7907
DAnjou_Chr10v0.1_26243.1	1569	1412.18	31	1.10511
DAnjou_Chr10v0.1_26242.1	327	174.375	10	2.88701
DAnjou_Chr10v0.1_26241.1	1371	1214.18	500.393	20.7473
DAnjou_Chr10v0.1_26240.1	1185	1028.18	332	16.2556
DAnjou_Chr10v0.1_26239.1	813	656.23	1740.37	133.512
DAnjou_Chr10v0.1_26238.1	975	818.18	920	56.6073
DAnjou_Chr10v0.1_26237.1	2994	2837.18	48	0.851702
DAnjou_Chr10v0.1_26236.1	2601	2444.18	21	0.432533
DAnjou_Chr10v0.1_26235.1	720	563.23	18.558	1.65874
DAnjou_Chr10v0.1_26261.1	324	171.492	3	0.880664
DAnjou_Chr10v0.1_26234.1	3000	2843.18	21	0.371833
DAnjou_Chr10v0.1_26229.1	314	162.067	8	2.48501
DAnjou_Chr10v0.1_26233.1	1881	1724.18	35.6489	1.04087
DAnjou_Chr10v0.1_26232.1	2016	1859.18	2239.04	60.6282
DAnjou_Chr10v0.1_26231.1	910	753.18	19.6572	1.31389
DAnjou_Chr10v0.1_26230.1	2310	2153.18	66	1.54311
DAnjou_Chr10v0.1_26228.1	2604	2447.18	105.351	2.16724
DAnjou_Chr10v0.1_26227.1	2016	1859.18	591.783	16.0241
DAnjou_Chr10v0.1_26226.1	1479	1322.18	23.0817	0.878843
DAnjou_Chr10v0.1_26225.1	642	485.249	154	15.9768
DAnjou_Chr10v0.1_26224.1	2766	2609.18	403.48	7.78486
DAnjou_Chr10v0.1_26223.1	666	509.249	11792	1165.71
DAnjou_Chr10v0.1_26222.1	4140	3983.18	985.427	12.4545
DAnjou_Chr10v0.1_26221.1	512	355.568	217	30.7235
DAnjou_Chr10v0.1_26220.1	684	527.23	14	1.33678
DAnjou_Chr10v0.1_26219.1	1152	995.18	219.292	11.0932
DAnjou_Chr10v0.1_26218.1	666	509.249	161	15.9158
DAnjou_Chr10v0.1_26217.1	738	581.23	230	19.9211
DAnjou_Chr10v0.1_26216.1	1686	1529.18	494.921	16.2934
DAnjou_Chr10v0.1_26215.1	1455	1298.18	53	2.0553
DAnjou_Chr10v0.1_26214.1	450	294.091	0	0
DAnjou_Chr10v0.1_26213.1	420	264.579	987	187.8
DAnjou_Chr10v0.1_26212.1	846	689.18	151	11.0301
DAnjou_Chr10v0.1_26211.1	1521	1364.18	1539	56.7937
DAnjou_Chr10v0.1_26210.1	1593	1436.18	1219.81	42.7579
DAnjou_Chr10v0.1_26209.1	561	404.429	250	31.1194
DAnjou_Chr10v0.1_26208.1	1278	1121.18	212	9.51906
DAnjou_Chr10v0.1_26207.1	768	611.23	509.421	41.9571
DAnjou_Chr10v0.1_26206.1	909	752.18	19.8174	1.32635
DAnjou_Chr10v0.1_26205.1	924	767.18	49	3.21538
DAnjou_Chr10v0.1_26204.1	1326	1169.18	85	3.65991
DAnjou_Chr4v0.1_08960.1	597	440.335	0	0
DAnjou_Chr4v0.1_08961.1	528	371.527	0	0
DAnjou_Chr4v0.1_08962.1	864	707.18	0	0
DAnjou_Chr10v0.1_26190.1	369	214.695	0	0
DAnjou_Chr10v0.1_26189.1	651	494.249	99	10.0838
DAnjou_Chr10v0.1_26188.1	1113	956.18	8.1961	0.43152
DAnjou_Chr10v0.1_26187.1	2157	2000.18	25	0.629222
DAnjou_Chr10v0.1_26186.1	1290	1133.18	234.32	10.4098
DAnjou_Chr10v0.1_26185.1	771	614.23	763.148	62.5477
DAnjou_Chr10v0.1_26184.1	2298	2141.18	207	4.86688
DAnjou_Chr10v0.1_26183.1	360	205.93	0	0
DAnjou_Chr10v0.1_26182.1	840	683.18	2	0.147377
DAnjou_Chr10v0.1_26181.1	1011	854.18	945	55.695
DAnjou_Chr10v0.1_26180.1	1953	1796.18	598	16.7604
DAnjou_Chr10v0.1_26179.1	549	392.444	214.933	27.5714
DAnjou_Chr5v0.1_13484.1	2088	1931.18	613.433	15.9911
DAnjou_Chr10v0.1_26177.1	363	208.814	146	35.1987
DAnjou_Chr10v0.1_26178.1	2451	2294.18	651.567	14.2977
DAnjou_Chr10v0.1_26176.1	948	791.18	5673	360.97
DAnjou_Chr10v0.1_26175.1	1617	1460.18	72	2.48233
DAnjou_Chr10v0.1_26172.1	2139	1982.18	0	0
DAnjou_Chr10v0.1_26170.1	1366	1209.18	11	0.457968
DAnjou_Chr10v0.1_26169.1	623	466.319	10.109	1.09133
DAnjou_Chr10v0.1_26168.1	2160	2003.18	2	0.0502624
DAnjou_Chr10v0.1_26167.1	1710	1553.18	3430.34	111.186
DAnjou_Chr10v0.1_26166.1	218	76.8422	0	0
DAnjou_Chr10v0.1_26165.1	513	356.568	6	0.847115
DAnjou_Chr10v0.1_26164.1	1782	1625.18	459	14.2182
DAnjou_Chr10v0.1_26163.1	492	335.746	139	20.8419
DAnjou_Chr10v0.1_26162.1	894	737.18	372.368	25.4292
DAnjou_Chr10v0.1_26161.1	386	231.233	14	3.04798
DAnjou_Chr10v0.1_26160.1	1173	1016.18	874.556	43.3262
DAnjou_Chr10v0.1_26159.1	933	776.18	419.547	27.2115
DAnjou_Chr10v0.1_26158.1	630	473.249	484.73	51.5636
DAnjou_Chr10v0.1_26157.1	2442	2285.18	0	0
DAnjou_Chr10v0.1_26156.1	1947	1790.18	370	10.4049
DAnjou_Chr10v0.1_26155.1	2160	2003.18	419	10.53
DAnjou_Chr10v0.1_26154.1	528	371.527	6.49502	0.880081
DAnjou_Chr10v0.1_26153.1	414	258.724	0	0
DAnjou_Chr10v0.1_26152.1	2319	2162.18	105.173	2.44876
DAnjou_Chr10v0.1_26151.1	2682	2525.18	244	4.86442
